Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
1,1,BZ1,Buzzer,Device:Buzzer,parts:XDCR_AT-1438-TWT-R,~,,Piezo buzzer,,PUI Audio,AT-1438-TWT-R,665-AT-1438TWTR,https://www.mouser.com/ProductDetail/PUI-Audio/AT-1438-TWT-R?qs=49157WxD7wnIcohqDuw2bw%3D%3D
2,1,J1,GPIO,Connector_Generic:Conn_02x17_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical,~,,2 position pin header,,TE Connectivity,1-534206-7,571-15342067,https://www.mouser.com/ProductDetail/571-15342067
3,1,J2,Power,Connector:Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,36 pin IDC socket,,TE Connectivity,5-146282-2,571-5-146282-2,https://www.mouser.com/ProductDetail/TE-Connectivity/5-146282-2?qs=VJiV0ukI%252BQgxg678iii9%252Bg%3D%3D
4,3,"R1, R2, R3",470,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,1/4W resistor,,TE Connectivity,CFR16J470R,279-CFR16J470R,https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CFR16J470R?qs=DDevMFOh4ssf%252BheOQ8IrKw%3D%3D
5,1,R4,270,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,1/4W resistor,,TE Connectivity,CFR16J270R,279-CFR16J270R,https://www.mouser.com/ProductDetail/TE-Connectivity-AMP/CFR16J270R?qs=8G8kQhBkhGjcoU0N18ASfQ%3D%3D
6,8,"R5, R6, R7, R8, R9, R10, R11, R12",10K,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,1/4W resistor,,TE Connectivity,CFR16J10K,279-CFR16J10K,https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CFR16J10K?qs=DDevMFOh4stlXgYmKQsM0g%3D%3D
7,1,S1,Red,omron:B3W-9002-Y1Y,parts:B3W9002Y1Y,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3w-9.pdf,,Tactile Switches HF Red LED Yellow Cap,11.4,Omron Electronics,B3W-9002-Y1Y,653-B3W-9002-Y1Y,https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3W-9002-Y1Y
8,1,S2,Blue,omron:B3W-9002-Y1Y,parts:B3W9002Y1Y,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3w-9.pdf,,Tactile Switches HF Blue LED Yellow Cap,11.4,Omron Electronics,B3W-9002-Y1Y,653-B3W-9002-Y1Y,https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3W-9002-Y1Y
9,1,S3,Yellow,omron:B3W-9002-Y1Y,parts:B3W9002Y1Y,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3w-9.pdf,,Tactile Switches HF Yellow LED Yellow Cap,11.4,Omron Electronics,B3W-9002-Y1Y,653-B3W-9002-Y1Y,https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3W-9002-Y1Y
10,1,S4,Green,omron:B3W-9002-Y1Y,parts:B3W9002Y1Y,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3w-9.pdf,,Tactile Switches HF Green LED Yellow Cap,11.4,Omron Electronics,B3W-9002-Y1Y,653-B3W-9002-Y1Y,https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3W-9002-Y1Y
11,1,U1,74LS06,74xx:74LS06,Package_DIP:DIP-14_W7.62mm,http://www.ti.com/lit/gpn/sn74LS06,,Hex inverter/driver,,Texas Instruments,SN74LS06N,595-SN74LS06N,https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS06N?qs=SL3LIuy2dWxveuP53QjSSQ%3D%3D